"Biomarkers for left hand group from scores plot","VIP","Name"
"MIPOL1",2.47292430951748,"MIPOL1"
"MISP",2.27805312562591,"MISP"
"MLF1",2.42181711665611,"MLF1"
"MOK",2.20432433586511,"MOK"
"MORC4",1.9918144537364,"MORC4"
"MORN2",2.24462675576765,"MORN2"
"MORN4",2.14748401652685,"MORN4"
"MPDZ",1.90253315955703,"MPDZ"
"MPP5",1.94095286026571,"MPP5"
"MRAS",1.89116278956037,"MRAS"
"MYL5",2.27659455412735,"MYL5"
"MYO10",2.03629731187817,"MYO10"
"MYO1C",2.24780681941653,"MYO1C"
"MYO1E",2.19452226809614,"MYO1E"
"MYOF",2.29581674704198,"MYOF"
"NAB2",2.44032020974933,"NAB2"
"NCKAP1",2.47514416652634,"NCKAP1"
"NDST1",2.00055676745445,"NDST1"
"NEIL2",2.1685688264473,"NEIL2"
"NEURL1B",2.19568715308634,"NEURL1B"
"NFIC",1.9098999798251,"NFIC"
"NKIRAS1",1.99224472326642,"NKIRAS1"
"NMNAT1",1.91253656787291,"NMNAT1"
"NMNAT2",2.32101203844382,"NMNAT2"
"NOV",1.98311528613601,"NOV"
"NPAS2",2.00645807370347,"NPAS2"
"NPHP1",2.25937877544244,"NPHP1"
"NQO1",2.25944304468684,"NQO1"
"NTN4",2.21091019829868,"NTN4"
"NUAK1",2.15556697997062,"NUAK1"
"NUDT12",2.26482296917601,"NUDT12"
"NUDT14",2.04806999268886,"NUDT14"
"NUPR1",1.90925439648778,"NUPR1"
"OCLN",1.96134590804815,"OCLN"
"OCRL",2.16492467970016,"OCRL"
"OLFML2A",2.03058168555678,"OLFML2A"
"OSBPL10",1.90920822935659,"OSBPL10"
"OSCP1",2.10554581393464,"OSCP1"
"OSER1",1.920966832117,"OSER1"
"OTUB2",2.2418379830514,"OTUB2"
"P2RY6",2.03499996490217,"P2RY6"
"P3H4",2.23749496701925,"P3H4"
"P4HA2",2.24937956692289,"P4HA2"
"PACS1",1.94764471834326,"PACS1"
"PACSIN3",2.66095405197475,"PACSIN3"
"PAK4",2.14612112489647,"PAK4"
"PAPSS2",2.54001772496235,"PAPSS2"
"PAQR5",1.97882459492872,"PAQR5"
"PARVA",2.06248656573265,"PARVA"
"PCBD1",2.04719085752478,"PCBD1"
"PCDHB10",2.43637805537416,"PCDHB10"
"PCDHB14",2.08899260730404,"PCDHB14"
"PCDHGA3",2.50107912252911,"PCDHGA3"
"PCYOX1",2.15844029877283,"PCYOX1"
"PDGFC",2.56031051155412,"PDGFC"
"PDGFRL",2.15584871443929,"PDGFRL"
"PDXK",1.95705889238977,"PDXK"
"PDZD4",2.06882809533083,"PDZD4"
"PEG10",2.06675051070955,"PEG10"
"PEX10",1.95973967424392,"PEX10"
"PFN2",2.47061398995595,"PFN2"
"phenylalanine",2.17283326137915,"phenylalanine"
"PHLDA1",2.00476066163356,"PHLDA1"
"PHLDA3",2.01261469028805,"PHLDA3"
"phosphate",2.45902573155342,"phosphate"
"PIP4K2C",2.1461114301648,"PIP4K2C"
"PKP3",1.90263432642208,"PKP3"
"PLCB4",2.39562928061403,"PLCB4"
"PLEC",1.97091002902219,"PLEC"
"PLEK2",2.0021914587049,"PLEK2"
"PLEKHA1",2.22525070634439,"PLEKHA1"
"PLEKHA6",2.17432641047454,"PLEKHA6"
"PLK2",2.80329812949127,"PLK2"
"PLOD1",1.96501736907551,"PLOD1"
"PLOD2",2.1186522829761,"PLOD2"
"PLS3",2.84261636820995,"PLS3"
"PLXNB1",1.90963437071279,"PLXNB1"
"PMEPA1",2.09813691712673,"PMEPA1"
"PNPLA3",2.09468522116745,"PNPLA3"
"PODXL",2.08185350908123,"PODXL"
"POMT2",2.00519146382195,"POMT2"
"PPAP2B",2.40316245868578,"PPAP2B"
"PPIC",2.78311989939402,"PPIC"
"PPL",1.91924946836309,"PPL"
"PPP1R13L",2.28232776975674,"PPP1R13L"
"PPP1R1A",1.94844072690364,"PPP1R1A"
"PPP2R3A",2.40469966298153,"PPP2R3A"
"PRAMEF12",1.9775697681361,"PRAMEF12"
"PRDM6",1.88902999062978,"PRDM6"
"PRICKLE2",2.32137838361986,"PRICKLE2"
"PRKAG2",1.94209763030523,"PRKAG2"
"PROSER2",2.05206317114004,"PROSER2"
"PRRG1",2.15041917001724,"PRRG1"
"PRTG",2.00419114809509,"PRTG"
"PSMD2",1.99660916904346,"PSMD2"
"PTGFRN",2.10216159076088,"PTGFRN"
"PTGR1",2.46488888402452,"PTGR1"
"PTK2",1.89505923139542,"PTK2"
"PTMS",2.1478705435499,"PTMS"
"PTPN14",2.69754127580117,"PTPN14"
"PTPN21",2.39383919289912,"PTPN21"
"PTPRS",2.0761315045817,"PTPRS"
"PTS",2.16217076373338,"PTS"
"PTTG1IP",1.96341359965029,"PTTG1IP"
"PVR",2.29393464813374,"PVR"
"PVRL2",2.26300950918143,"PVRL2"
"PXDC1",2.23305032289379,"PXDC1"
"RAB13",2.35058168608889,"RAB13"
"RAB17",1.93781195842108,"RAB17"
"RAB2A",1.92067196128073,"RAB2A"
"RAI14",2.31277892519763,"RAI14"
"RALGPS2",2.33856476831331,"RALGPS2"
"RASEF",1.96632298957582,"RASEF"
"RBFOX2",2.3631363224206,"RBFOX2"
"RBM24",2.32199372666307,"RBM24"
"RBMS3",1.90331135372049,"RBMS3"
"RBMS3.AS3",2.21369296014361,"RBMS3-AS3"
"REEP3",2.31873895057321,"REEP3"
"RETSAT",2.2089445796205,"RETSAT"
"RHBDF2",1.99587709376336,"RHBDF2"
"RHOD",1.97201977312445,"RHOD"
"RHPN2",2.35073787769666,"RHPN2"
"RILPL1",2.19915130209973,"RILPL1"
"RIPK2",1.96526814048017,"RIPK2"
"RND3",2.50688452574149,"RND3"
"RNF103",1.9343248624271,"RNF103"
"RNF11",2.17295772594013,"RNF11"
"RNF151",2.03794314466082,"RNF151"
"RNF25",1.9709498174252,"RNF25"
"RPA1",1.91152874179249,"RPA1"
"RRAGA",2.22567586407121,"RRAGA"
"RRAS",2.48603825726672,"RRAS"
"RRAS2",2.31866729909494,"RRAS2"
"RUSC2",1.96169909580492,"RUSC2"
"RYK",2.26407322399288,"RYK"
"S100A16",2.54340697369794,"S100A16"
"S100A2",2.05544994332214,"S100A2"
"SASH1",2.46554237552152,"SASH1"
"SAT2",2.30034601386496,"SAT2"
"SCARB2",2.38047423530329,"SCARB2"
"SCML1",2.50516524017472,"SCML1"
"SCRN1",2.70889594827187,"SCRN1"
"SDC1",2.07054524086382,"SDC1"
"SDC2",2.37188364844343,"SDC2"
"SDC4",2.81157112908305,"SDC4"
"SEMA3C",2.44376996469646,"SEMA3C"
"SEPT10",2.28636987827499,"SEPT10"
"SEPT11",2.05014799787629,"SEPT11"
"SERINC2",1.89045685390344,"SERINC2"
"serine",2.23770146899939,"serine"
"SERPINA3",1.91709083399472,"SERPINA3"
"SERPINH1",2.14751112624958,"SERPINH1"
"SFN",2.08403151100201,"SFN"
"SGCE",2.45535061834885,"SGCE"
"SGK223",2.07349752663465,"SGK223"
"SGPL1",1.91748136625114,"SGPL1"
"SH3D19",2.65172061937037,"SH3D19"
"SH3PXD2B",2.01238132688766,"SH3PXD2B"
"SH3RF1",2.4793869622506,"SH3RF1"
"SH3RF2",1.90942965350203,"SH3RF2"
"SHISA4",2.29421176841802,"SHISA4"
"SHISA7",1.90307798497031,"SHISA7"
"SHROOM2",2.28445905928226,"SHROOM2"
"SIPA1L3",2.32929321347505,"SIPA1L3"
"SIX4",2.16575424958528,"SIX4"
"SLC26A11",2.03965269638148,"SLC26A11"
"SLC2A10",2.01420841197375,"SLC2A10"
"SLC37A3",1.96561997319944,"SLC37A3"
"SLC52A2",1.99609053616454,"SLC52A2"
"SLC9A3R2",2.0932150705858,"SLC9A3R2"
"SLC9A7",2.0254465990252,"SLC9A7"
"SMAD5",2.0822246743972,"SMAD5"
"SMARCA1",2.39028277784918,"SMARCA1"
"SNX21",2.00929188714679,"SNX21"
"SNX7",2.04385919713971,"SNX7"
"SOWAHC",2.58559677777204,"SOWAHC"
"SOX13",2.17662782228024,"SOX13"
"SOX9",2.40441340148207,"SOX9"
"SPIRE1",2.22087761662572,"SPIRE1"
"SPIRE2",2.36718411096902,"SPIRE2"
"SPOPL",2.13556930489954,"SPOPL"
"SPR",2.34803110865479,"SPR"
"SRGAP1",2.47777884821603,"SRGAP1"
"SRRM3",2.10715511764333,"SRRM3"
"SRXN1",2.16526321356706,"SRXN1"
"SSH3",2.51048784445715,"SSH3"
"SSPN",1.93769029047792,"SSPN"
"ST5",1.9244598792747,"ST5"
"ST6GALNAC6",1.93077421303771,"ST6GALNAC6"
"STEAP2",1.97944540202576,"STEAP2"
"STK32C",2.12345779734792,"STK32C"
"SUMF1",2.39055230126277,"SUMF1"
"SYTL2",1.9447710990891,"SYTL2"
"TACC2",2.44189876447967,"TACC2"
"TBC1D16",2.30576228143731,"TBC1D16"
"TBC1D21",1.94984636869828,"TBC1D21"
"TBC1D8B",2.51102589207354,"TBC1D8B"
"TBC1D9B",2.08150550161823,"TBC1D9B"
"TCEAL3",2.58197052748265,"TCEAL3"
"TCEAL4",2.45537755641705,"TCEAL4"
"TCF7L1",2.32120608787368,"TCF7L1"
"TCTN1",1.90743989238135,"TCTN1"
"TDRP",1.93662321983471,"TDRP"
"TEAD1",2.10695626148757,"TEAD1"
"TECPR2",1.95109481318609,"TECPR2"
"TEF",1.92225175724976,"TEF"
"TFPI2",1.94435190211739,"TFPI2"
"TGFB1I1",2.1613599823457,"TGFB1I1"
"TGFB2",2.14276668346848,"TGFB2"
"THAP10",2.01695937424726,"THAP10"
"THBS3",2.01879780138458,"THBS3"
"TJP1",2.66445623006024,"TJP1"
