"Biomarkers for right hand group from scores plot","VIP","Name"
"MCM5",1.95690181204568,"MCM5"
"MIR142",2.70784258813457,"MIR142"
"MND1",2.02246604178609,"MND1"
"MPP1",2.14103145903691,"MPP1"
"MRPL48",1.96277818535468,"MRPL48"
"MSL2",2.05250095413827,"MSL2"
"MTR",2.13740676373293,"MTR"
"MUTYH",1.92897500185147,"MUTYH"
"MYB",1.97800094709029,"MYB"
"MYCBP2",2.37937993655902,"MYCBP2"
"MYO1G",2.14846390185023,"MYO1G"
"MZB1",2.01910725112825,"MZB1"
"NAP1L5",1.97180103623977,"NAP1L5"
"NASP",1.94996009376569,"NASP"
"NCAPD2",2.15208426313743,"NCAPD2"
"NCAPD3",1.93472410634865,"NCAPD3"
"NCAPG",1.97420975163255,"NCAPG"
"NCKAP1L",2.86729133317097,"NCKAP1L"
"NEIL3",1.98536207850052,"NEIL3"
"NEMP1",1.89992350325168,"NEMP1"
"NFATC2IP",1.97571043436811,"NFATC2IP"
"NFATC3",2.06922470686005,"NFATC3"
"NGLY1",2.05183090706406,"NGLY1"
"NIFK.AS1",2.11491322496681,"NIFK-AS1"
"NINJ2",2.27142981966056,"NINJ2"
"NKG7",2.15847031279259,"NKG7"
"NKTR",1.98905874489616,"NKTR"
"NLRC3",1.95623295959596,"NLRC3"
"NMI",2.26523471801062,"NMI"
"NRROS",2.77049093846192,"NRROS"
"NUF2",1.90642755639726,"NUF2"
"NUP98",2.40369077167307,"NUP98"
"ORAI2",2.16482122032195,"ORAI2"
"ORC1",2.25833163831127,"ORC1"
"ORC6",2.04427853586959,"ORC6"
"ornithine",2.38343223234613,"ornithine"
"OSTF1",2.28290911462825,"OSTF1"
"OXCT1",2.16032637670925,"OXCT1"
"P2RY8",2.46405178051769,"P2RY8"
"PAPD4",1.95416310379027,"PAPD4"
"PAQR3",2.05648628482389,"PAQR3"
"PARP1",2.00853607354182,"PARP1"
"PASK",1.91295707723094,"PASK"
"PAXBP1",2.1892796671923,"PAXBP1"
"PAXIP1",1.91857653671413,"PAXIP1"
"PCNA",1.94132596610535,"PCNA"
"PDS5A",1.98169188326974,"PDS5A"
"PEX5L",1.92240837099594,"PEX5L"
"PIAS1",1.93138936480873,"PIAS1"
"PIK3CG",2.69671246293729,"PIK3CG"
"PIKFYVE",1.9712188795532,"PIKFYVE"
"PKMYT1",2.01999090825844,"PKMYT1"
"PLCXD1",2.03700865617293,"PLCXD1"
"PMS1",2.02907964313258,"PMS1"
"POLE3",2.40428716194246,"POLE3"
"POLQ",2.32508210818496,"POLQ"
"POT1",2.41953651347475,"POT1"
"PPIH",1.96750994825472,"PPIH"
"PPIP5K2",2.0833235939276,"PPIP5K2"
"PPP1R12A",1.92818198755399,"PPP1R12A"
"PPP6R1",2.11250171769416,"PPP6R1"
"proline",1.98972968208812,"proline"
"PRPF38A",1.97572273620685,"PRPF38A"
"PRPS1",1.95108022174665,"PRPS1"
"PSMC3IP",1.90941759362775,"PSMC3IP"
"PTDSS1",2.01235207838749,"PTDSS1"
"PTK2B",1.94104172518309,"PTK2B"
"PTPN7",2.70466016310431,"PTPN7"
"PTPRC",2.42919038126521,"PTPRC"
"PTPRCAP",2.16148370237014,"PTPRCAP"
"RAB27A",1.94472544639735,"RAB27A"
"RAB33A",2.28864045607544,"RAB33A"
"RAC2",2.25635529775633,"RAC2"
"RAD51",2.05701070554052,"RAD51"
"RAD51AP1",1.95722361968633,"RAD51AP1"
"RAD54L",2.03473869561345,"RAD54L"
"RASAL3",2.51497038337984,"RASAL3"
"RASGRP2",2.328999859942,"RASGRP2"
"RASSF5",2.81263330726891,"RASSF5"
